symbol,period,strongBuy,buy,hold,sell,strongSell,hold_percentage,strongBuy_percentage
AMZN,2024-08-01,19,46,2,0,0,2.9850746268656714,28.35820895522388
SPGI,2024-08-01,11,16,1,0,0,3.571428571428571,39.285714285714285
EDU,2024-08-01,9,15,1,0,0,4.0,36.0
BRZE,2024-08-01,6,17,1,0,0,4.166666666666666,25.0
MELI,2024-08-01,8,15,1,0,0,4.166666666666666,33.33333333333333
INSM,2024-08-01,7,15,1,0,0,4.3478260869565215,30.434782608695656
ACLX,2024-08-01,8,14,1,0,0,4.3478260869565215,34.78260869565217
XENE,2024-08-01,11,11,1,0,0,4.3478260869565215,47.82608695652174
RVMD,2024-08-01,10,10,1,0,0,4.761904761904762,47.61904761904761
MRUS,2024-08-01,10,10,1,0,0,4.761904761904762,47.61904761904761
RBRK,2024-08-01,6,14,1,0,0,4.761904761904762,28.57142857142857
MSFT,2024-08-01,23,37,3,0,0,4.761904761904762,36.507936507936506
IMVT,2024-08-01,9,11,1,0,0,4.761904761904762,42.857142857142854
CIVI,2024-08-01,6,13,1,0,0,5.0,30.0
CYBR,2024-08-01,14,22,2,0,0,5.263157894736842,36.84210526315789
SLB,2024-08-01,10,23,2,0,0,5.714285714285714,28.57142857142857
UNH,2024-08-01,12,18,2,0,0,6.25,37.5
GRAB,2024-08-01,8,20,2,0,0,6.666666666666667,26.666666666666668
MU,2024-08-01,14,28,3,0,0,6.666666666666667,31.11111111111111
RARE,2024-08-01,9,16,2,0,0,7.4074074074074066,33.33333333333333
LNG,2024-08-01,10,15,2,0,0,7.4074074074074066,37.03703703703704
GE,2024-08-01,8,16,2,0,0,7.6923076923076925,30.76923076923077
MRVL,2024-08-01,12,24,3,0,0,7.6923076923076925,30.76923076923077
DAL,2024-08-01,8,15,2,0,0,8.0,32.0
UAL,2024-08-01,8,15,2,0,0,8.0,32.0
NTES,2024-08-01,13,21,3,0,0,8.108108108108109,35.13513513513514
SNPS,2024-08-01,8,13,2,0,0,8.695652173913043,34.78260869565217
AXSM,2024-08-01,8,13,2,0,0,8.695652173913043,34.78260869565217
MTDR,2024-08-01,5,16,2,0,0,8.695652173913043,21.73913043478261
CRH,2024-08-01,7,14,2,0,0,8.695652173913043,30.434782608695656
UBER,2024-08-01,12,39,5,0,0,8.928571428571429,21.428571428571427
KKR,2024-08-01,7,13,2,0,0,9.090909090909092,31.818181818181817
DNLI,2024-08-01,9,11,2,0,0,9.090909090909092,40.909090909090914
EWBC,2024-08-01,10,10,2,0,0,9.090909090909092,45.45454545454545
WMT,2024-08-01,12,28,4,0,0,9.090909090909092,27.27272727272727
NVDA,2024-08-01,20,39,6,0,0,9.230769230769232,30.76923076923077
SKX,2024-08-01,6,13,2,0,0,9.523809523809524,28.57142857142857
TECK,2024-08-01,6,13,2,0,0,9.523809523809524,28.57142857142857
NE,2024-08-01,7,12,2,0,0,9.523809523809524,33.33333333333333
RCKT,2024-08-01,6,13,2,0,0,9.523809523809524,28.57142857142857
PHR,2024-08-01,7,12,2,0,0,9.523809523809524,33.33333333333333
GH,2024-08-01,14,14,3,0,0,9.67741935483871,45.16129032258064
