symbol,queriedSymbol,period,strongBuy,buy,hold,sell,strongSell
HYREQ,HYREQ,2023-07-01,4,4,1,0,0
HYREQ,HYREQ,2023-06-01,4,4,1,0,0
HYREQ,HYREQ,2023-05-01,4,4,1,0,0
HYREQ,HYREQ,2023-04-01,4,4,1,0,0
5946.T,CFSKF,2024-06-01,0,0,3,3,1
5946.T,CFSKF,2024-05-01,0,0,3,3,1
5946.T,CFSKF,2024-04-01,0,0,3,3,1
5946.T,CFSKF,2024-03-01,0,0,3,3,1
QEC.TO,QTEYF,2021-12-01,0,0,2,3,2
QEC.TO,QTEYF,2021-11-01,0,0,2,3,2
QEC.TO,QTEYF,2021-10-01,0,0,2,3,2
QEC.TO,QTEYF,2021-09-01,0,0,2,3,2
TLX.DE,TNXXF,2024-08-01,0,1,8,4,1
TLX.DE,TNXXF,2024-07-01,0,1,8,4,1
TLX.DE,TNXXF,2024-06-01,0,1,8,4,1
TLX.DE,TNXXF,2024-05-01,0,1,8,4,1
NG,NG,2024-08-01,3,5,2,0,0
NG,NG,2024-07-01,3,5,2,0,0
NG,NG,2024-06-01,3,5,2,0,0
NG,NG,2024-05-01,3,5,2,0,0
JDW.L,JDWPF,2024-08-01,5,7,7,0,0
JDW.L,JDWPF,2024-07-01,5,7,7,0,0
JDW.L,JDWPF,2024-06-01,5,7,8,0,0
JDW.L,JDWPF,2024-05-01,5,7,8,0,0
002460.SZ,GNENF,2024-08-01,5,14,5,2,1
002460.SZ,GNENF,2024-07-01,6,14,4,2,1
002460.SZ,GNENF,2024-06-01,6,14,4,2,1
002460.SZ,GNENF,2024-05-01,6,13,5,2,1
1802.T,OBYCF,2024-08-01,2,7,3,0,0
1802.T,OBYCF,2024-07-01,2,7,3,0,0
1802.T,OBYCF,2024-06-01,2,6,4,0,0
1802.T,OBYCF,2024-05-01,1,6,4,1,0
HLGN,HLGN,2024-08-01,0,0,3,1,2
HLGN,HLGN,2024-07-01,0,0,3,1,2
HLGN,HLGN,2024-06-01,0,0,3,1,2
