currency,description,displaySymbol,figi,isin,mic,shareClassFIGI,symbol,symbol2,type
USD,DYNARESOURCE INC,DYNR,BBG000HJMPS9,,OOTC,BBG001S98WK6,DYNR,,Common Stock
USD,CARBON RACE CORP,CBRJ,BBG000C4GZ57,,OOTC,BBG001SG0723,CBRJ,,Common Stock
USD,ROUNDHILL SPORTS BET & IGAM,BETZ,BBG00V7866V2,,ARCX,BBG00V7867P7,BETZ,,ETP
USD,HYPROP INVESTMENTS LTD,HINVF,BBG00Q6M7MB9,,OOTC,BBG001S7KB68,HINVF,,REIT
USD,PGIM GLOBAL HIGH YIELD FUND,GHY,BBG0037TDXT4,,XNYS,BBG0037TDYM9,GHY,,Closed-End Fund
USD,SPDR BLACKSTONE HIGH INCOME,HYBL,BBG014Z180X4,,BATS,BBG014Z181S8,HYBL,,ETP
USD,HYRECAR INC,HYREQ,BBG00L07HM73,,OOTC,BBG00L07HMZ2,HYREQ,,Common Stock
USD,CHOFU SEISAKUSHO CO LTD,CFSKF,BBG000NFSGV0,,OOTC,BBG001S6J0F6,CFSKF,,Common Stock
USD,DIH HOLDINGS US INC,DHAI,BBG0165YKYM4,,XNAS,BBG0165YKZJ5,DHAI,,Common Stock
USD,HAIER SMART HOME CO LTD-ADR,HSHCY,BBG012483XJ6,,OOTC,BBG012483YD0,HSHCY,,ADR
USD,QUESTERRE ENERGY CORP - A,QTEYF,BBG000R19BW8,,OOTC,BBG001SL95H1,QTEYF,,Common Stock
USD,ISHARES ENV AWARE RE ESTATE,ERET,BBG01BG3WMX0,,XNAS,BBG01BG3WNR5,ERET,,ETP
USD,TALANX AG,TNXXF,BBG008KF28X0,,OOTC,BBG001SGJYW1,TNXXF,,Common Stock
USD,NOVAGOLD RESOURCES INC,NG,BBG000D25424,,XASE,BBG001S5ZT85,NG,,Common Stock
USD,ISHARES CORE DAX DE EUR ACC,DAXXF,BBG000RQRXG3,,OOTC,BBG001SGNC72,DAXXF,,ETP
USD,ALSERES PHARMACEUTICALS INC,ALSE,BBG000BTMV73,,OOTC,BBG001S5WFX0,ALSE,,Common Stock
USD,WETHERSPOON (J.D.) PLC,JDWPF,BBG000CJFHD6,,OOTC,BBG001S74XR5,JDWPF,,Common Stock
USD,RSE ARCHIVESER-HENDERSON1980,RARHS,BBG018K997D0,,OOTC,BBG018K998D8,RARHS,,Common Stock
USD,GANFENG LITHIUM GROUP CO L-H,GNENF,BBG00N0D59G8,,OOTC,BBG00L9ZZZL7,GNENF,,Common Stock
USD,SED INTERNATIONAL HLDGS INC,SEDN,BBG000C4B2F4,,OOTC,BBG001S6L170,SEDN,,Common Stock
USD,OBAYASHI CORP,OBYCF,BBG000DMZKW8,,OOTC,BBG001S6B3Q6,OBYCF,,Common Stock
USD,NEOS NASDAQ-100 HIGH INC ETF,QQQI,BBG01L86VBC8,,XNAS,BBG01L86VCM5,QQQI,,ETP
USD,HELIOGEN INC,HLGN,BBG00Z8MNCX7,,OOTC,BBG00Z8MNCY6,HLGN,,Common Stock
USD,VERUS INTERNATIONAL INC,VRUS,BBG000JL9QN0,,OOTC,BBG001T3NTC7,VRUS,,Common Stock
USD,PROSHARES ULTRA BITCOIN ETF,BITU,BBG01M79Z7R0,,ARCX,BBG01M79Z8W2,BITU,,ETP
USD,RSE ARCHIVEINT-SERSMB31990,RSBFS,BBG018LRNB80,,OOTC,BBG018LRNC33,RSBFS,,Common Stock
USD,WHITE RIVER BANCSHARES CO,WRIV,BBG000JM5PD5,,OOTC,BBG001SPJPS5,WRIV,,Common Stock
USD,SCHOTT PHARMA AG& CO KGAA,STTPF,BBG01LW5X0G1,,OOTC,BBG01JFK07G3,STTPF,,Common Stock
USD,DIEGO PELLICER WORLDWIDE INC,DPWW,BBG004SJTT86,,OOTC,BBG004SJTT95,DPWW,,Common Stock
USD,JPMORGAN HIGH YIELD MUNICPL,JMHI,BBG01H50H4S8,,ARCX,BBG01H50H5M1,JMHI,,ETP
USD,GLOBAL X CLEANTECH ETF,CTEC,BBG00Y056818,,XNAS,BBG00Y0568X3,CTEC,,ETP
USD,ISHARES ESG AWARE 1-5 YEAR U,SUSB,BBG00H4BFKY5,,XNAS,BBG00H4BFM35,SUSB,,ETP
USD,ITISSALAT AL-MAGHRIB,MAOTF,BBG000GNXM51,,OOTC,BBG001SB1581,MAOTF,,Common Stock
USD,AERIUS INC,AERS,BBG000HS9S44,,OOTC,BBG001SHTQP3,AERS,,Common Stock
USD,BIONEUTRA GLOBAL CORP,BGACF,BBG00XS6JH14,,OOTC,BBG001S97HF6,BGACF,,Common Stock
USD,PPC LTD-SPONSORED ADR,PPCLY,BBG00CR6KFK2,,OOTC,BBG00CR6KG84,PPCLY,,ADR
USD,PLAYGON GAMES INC,PLGNF,BBG00XKLVSF6,,OOTC,BBG001SBGHX1,PLGNF,,Common Stock
USD,ISH S&P500 MATERIALS,IMATF,BBG00QJ8V2R6,,OOTC,BBG00G5JR463,IMATF,,ETP
USD,PACER LUNT LARGE CAP ALTERNA,ALTL,BBG00VP22TF7,,ARCX,BBG00VP22V71,ALTL,,ETP
,BEACON HOLDING CO INC,BCON,BBG01PBHPPB8,,OOTC,BBG01PBHPQ53,BCON,,Common Stock
USD,ISHARES IBOND 2026 HY & INC,IBHF,BBG00Y1B7WC8,,BATS,BBG00Y1B7X63,IBHF,,ETP
USD,TYSON FOODS INC-CL A,TSN,BBG000DKCC19,,XNYS,BBG001S871D5,TSN,,Common Stock
USD,PARNELL PHARMACEUTICALS HOLD,PARNF,BBG006JCYL78,,OOTC,BBG001V0PL35,PARNF,,Common Stock
